20200209-005002	Key	Action	Acc1	Role1	Lv1	Tong1	Num1	Map1	PosX	PosY	Acc2	Role2	Lv2	Tong2	Num2	Map2	Pos2X	Pos2Y	ItemName	ItemG	ItemD	IitemP	ItemDur	ItemSeed	GenTime	Socket1	Socket2	Socket3	EnhanceTimes	Place	X	Y
20200209-005102	large_str	AddItem[/script/global/playerloginin.lua|main]			0		2471460818	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200209-005102	ItemAdd	2471460818	an1	zzzzzzzz	799		1	300	1696	3481			0		0	0	0	0	CÈm Nang §¹i Sù KiÖn	2	1	30045	1	-541958080	2020-02-09 00:51:02	1073676288	1073676288	1073676288	0	-1	-1	-1
20200209-005102	ItemAdd	2471460818	an1	zzzzzzzz	799		1	300	1696	3481			0		0	0	0	0	NguyÖt L­îng Thè luy	2	0	1043	1	49587197	2020-02-09 00:51:02	1073676288	1073676288	1073676288	0	-1	-1	-1
20200209-005102	ItemAdd	2471460818	an1	zzzzzzzz	799		1	300	1696	3481			0		0	0	0	0	TiÕu ng¹o giang hå l	2	1	30240	1	78078457	2020-02-09 00:51:02	1073676288	1073676288	1073676288	0	-1	-1	-1
20200209-005102	ItemAdd	2471460818	an1	zzzzzzzz	799		1	300	1696	3481			0		0	0	0	0	Bøc th­ thÇn bÝ	2	0	30052	1	-743280082	2020-02-09 00:51:02	1073676288	1073676288	1073676288	0	-1	-1	-1
20200209-005104	ItemAdd	2471460818	an	ioNaruto	799		1	200	1437	2964			0		0	0	0	0	CÈm Nang §¹i Sù KiÖn	2	1	30045	1	1166157618	2020-02-09 00:51:04	1073676288	1073676288	1073676288	0	-1	-1	-1
20200209-005104	ItemAdd	2471460818	an	ioNaruto	799		1	200	1437	2964			0		0	0	0	0	NguyÖt L­îng Thè luy	2	0	1043	1	926462444	2020-02-09 00:51:04	1073676288	1073676288	1073676288	0	-1	-1	-1
20200209-005104	ItemAdd	2471460818	an	ioNaruto	799		1	200	1437	2964			0		0	0	0	0	TiÕu ng¹o giang hå l	2	1	30240	1	-1997093283	2020-02-09 00:51:04	1073676288	1073676288	1073676288	0	-1	-1	-1
20200209-005104	ItemAdd	2471460818	an	ioNaruto	799		1	200	1437	2964			0		0	0	0	0	Bøc th­ thÇn bÝ	2	0	30052	1	-1614566046	2020-02-09 00:51:04	1073676288	1073676288	1073676288	0	-1	-1	-1
20200209-005116	large_str	AddItem[/settings/static_script/cheat/gm_item_tifuzhiyin.lua|Get_NT_DiepThuongThu]			0		1197247493	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
