20200125-221145	Key	Action	Acc1	Role1	Lv1	Tong1	Num1	Map1	PosX	PosY	Acc2	Role2	Lv2	Tong2	Num2	Map2	Pos2X	Pos2Y	ItemName	ItemG	ItemD	IitemP	ItemDur	ItemSeed	GenTime	Socket1	Socket2	Socket3	EnhanceTimes	Place	X	Y
20200125-221252	ItemConsume	ClearItemInPos	an	ioNaruto	799		1	200	1356	2859			0		0	0	0	0	GM Item	2	1	30644	1	-1140111011	2020-01-25 18:59:26	1073676288	1073676288	1073676288	0	2	0	0
20200125-221252	ItemConsume	ClearItemInPos	an	ioNaruto	799		1	200	1356	2859			0		0	0	0	0	H­íng dÉn chiÕn tr­ê	2	0	595	1	223895671	2020-01-25 19:00:15	1073676288	1073676288	1073676288	0	2	1	0
20200125-221252	ItemConsume	ClearItemInPos	an	ioNaruto	799		1	200	1356	2859			0		0	0	0	0	CÈm Nang §¹i Sù KiÖn	2	1	30045	1	1721344634	2020-01-25 19:36:24	1073676288	1073676288	1073676288	0	2	2	0
20200125-221252	ItemConsume	ClearItemInPos	an	ioNaruto	799		1	200	1356	2859			0		0	0	0	0	NguyÖt L­îng Thè luy	2	0	1043	1	-1775283581	2020-01-25 19:36:24	1073676288	1073676288	1073676288	0	2	3	0
20200125-221252	ItemConsume	ClearItemInPos	an	ioNaruto	799		1	200	1356	2859			0		0	0	0	0	TiÕu ng¹o giang hå l	2	1	30240	1	-787273984	2020-01-25 19:36:24	1073676288	1073676288	1073676288	0	2	4	0
20200125-221252	ItemConsume	ClearItemInPos	an	ioNaruto	799		1	200	1356	2859			0		0	0	0	0	Bøc th­ thÇn bÝ	2	0	30052	1	-51817471	2020-01-25 19:36:24	1073676288	1073676288	1073676288	0	2	0	1
20200125-221252	large_str	AddItem[/settings/static_script/cheat/gm_item_tifuzhiyin.lua|ClearBagAllItem]			0		1216436836	0	0	0			0		0	0	0	0		0	0	0	0	0		0	0	0	0	-1	-1	-1
20200125-221252	ItemAdd	1216436836	an	ioNaruto	799		1	200	1356	2859			0		0	0	0	0	GM Item	2	1	30644	1	1626513664	2020-01-25 22:12:52	1073676288	1073676288	1073676288	0	-1	-1	-1
20200125-221506	ItemAdd	AddItem[NoScript|NoFunc]	an	ioNaruto	799		1	200	1356	2859			0		0	0	0	0	TÈy T©m Th¹ch cÊp 4	2	1	30524	1	1754296490	2020-01-25 22:15:06	1073676288	1073676288	1073676288	0	-1	-1	-1
20200125-221522	ItemAdd	AddItem[NoScript|NoFunc]	an	ioNaruto	799		3	200	1356	2859			0		0	0	0	0	Hu©n ch­¬ng anh hïng	2	1	30499	3	1959088420	2020-01-25 22:15:22	1073676288	1073676288	1073676288	0	-1	-1	-1
20200125-221849	ItemAdd	AddItem[NoScript|NoFunc]	an	ioNaruto	799		1	200	1392	2835			0		0	0	0	0	Tèng L«i Hæ So¸i Kh«	0	103	30219	150	332017265	2020-01-25 22:18:49	881727975	881856822	27137601	15	-1	-1	-1
20200125-221918	ItemAdd	AddItem[NoScript|NoFunc]	an	ioNaruto	799		1	200	1392	2835			0		0	0	0	0	Tèng_Uy Hæ Nguyªn So	0	103	20623	360	1822910982	2020-01-25 22:19:18	947001236	949815918	27136747	15	-1	-1	-1
20200125-221930	ItemAdd	AddItem[NoScript|NoFunc]	an	ioNaruto	799		1	200	1392	2835			0		0	0	0	0	Tèng_Uy Hæ Nguyªn So	0	103	20623	360	-1399564801	2020-01-25 22:19:30	947000388	949815469	27136949	15	-1	-1	-1
20200125-222042	ItemAdd	AddItem[NoScript|NoFunc]	an	ioNaruto	799		1	200	1392	2835			0		0	0	0	0	Liªu_Uy Hæ Nguyªn So	0	103	20750	360	810400044	2020-01-25 22:20:42	947001278	949816996	27136301	15	-1	-1	-1
20200125-222057	ItemAdd	AddItem[NoScript|NoFunc]	an	ioNaruto	799		1	200	1392	2835			0		0	0	0	0	Liªu_Uy Hæ Nguyªn So	0	103	20755	360	-1206514019	2020-01-25 22:20:57	946999367	949816462	27137950	15	-1	-1	-1
20200125-222138	ItemAdd	AddItem[NoScript|NoFunc]	an	ioNaruto	799		1	200	1392	2835			0		0	0	0	0	Liªu_Uy Hæ Nguyªn So	0	103	20806	360	-1758712464	2020-01-25 22:21:38	946999304	949815674	27137010	15	-1	-1	-1
20200125-222149	ItemConsume	ClearItemInPos	an	ioNaruto	799		1	200	1392	2835			0		0	0	0	0	GM Item	2	1	30644	1	1626513664	2020-01-25 22:12:52	1073676288	1073676288	1073676288	0	2	0	0
20200125-222149	ItemConsume	ClearItemInPos	an	ioNaruto	799		1	200	1392	2835			0		0	0	0	0	TÈy T©m Th¹ch cÊp 4	2	1	30524	1	1754296490	2020-01-25 22:15:06	1073676288	1073676288	1073676288	0	2	1	0
20200125-222149	ItemConsume	ClearItemInPos	an	ioNaruto	799		3	200	1392	2835			0		0	0	0	0	Hu©n ch­¬ng anh hïng	2	1	30499	3	1959088420	2020-01-25 22:15:22	1073676288	1073676288	1073676288	0	2	2	0
20200125-222149	ItemConsume	ClearItemInPos	an	ioNaruto	799		1	200	1392	2835			0		0	0	0	0	Tèng L«i Hæ So¸i Kh«	0	103	30219	150	332017265	2020-01-25 22:18:49	881727975	881856822	27137601	15	2	3	0
20200125-222149	ItemConsume	ClearItemInPos	an	ioNaruto	799		1	200	1392	2835			0		0	0	0	0	Tèng_Uy Hæ Nguyªn So	0	103	20623	360	1822910982	2020-01-25 22:19:18	947001236	949815918	27136747	15	2	4	0
20200125-222149	ItemConsume	ClearItemInPos	an	ioNaruto	799		1	200	1392	2835			0		0	0	0	0	Tèng_Uy Hæ Nguyªn So	0	103	20623	360	-1399564801	2020-01-25 22:19:30	947000388	949815469	27136949	15	2	0	1
20200125-222149	ItemConsume	ClearItemInPos	an	ioNaruto	799		1	200	1392	2835			0		0	0	0	0	Liªu_Uy Hæ Nguyªn So	0	103	20750	360	810400044	2020-01-25 22:20:42	947001278	949816996	27136301	15	2	1	1
