route	rank	name	point	zige_point	level	totlewin	totlelose	weekwin	weeklose
0	1	07*TienNuDM	183	100	0	35	40	4	7
2	1	16*xxXxxNhjcKxxXxx	409	100	95	207	147	19	10
2	2	08*TuyetKi3uPhong	408	90	96	183	112	13	4
2	3	07*TLDQuangTeo01	402	85	96	27	6	16	6
2	4	02*oTuyetKjeuPhong	390	80	96	169	108	20	14
2	5	16*xxRayleighxx	383	75	99	356	292	16	13
2	6	07*ooMasterYi	376	70	99	141	92	7	4
2	7	09*Jx2iNgoaLong	363	65	95	116	69	8	3
2	8	68*GzTuKy	360	60	96	71	38	14	9
2	9	35*iiiiiiHoLy	358	55	97	133	67	7	4
2	10	08*TTPGiangNhatLam	357	50	96	504	427	26	26
2	11	24*ZoZNghiaHeRoZoZ	268	0	97	63	59	4	5
2	12	70*nhovaem	289	0	96	100	89	3	6
2	13	09*hoangkilong	281	0	99	175	155	7	5
2	14	15*ZzZo0oXxX	310	0	99	77	61	4	5
2	15	20*DongHiep	317	0	99	74	58	6	3
2	16	39*o0KjmTheDuy0o	319	0	99	70	53	6	7
2	17	09*ZzzTrauKoPkaiBo	323	0	99	19	4	6	3
2	18	03*1PMrMapLaoDai	327	0	98	220	178	28	30
2	19	04*G4meOver	328	0	95	96	61	5	4
2	20	66*zTSzSoiStyle1st	329	0	96	105	69	4	6
2	21	25*NeverBetting	331	0	98	65	31	7	3
2	22	08*DavidHËu	332	0	99	77	51	5	4
2	23	08*ooRedbull	296	0	97	41	28	23	20
2	24	03*DatMaDao	261	0	95	41	33	4	5
2	25	07*Truy3nThuy3tTLD	303	0	96	83	54	4	5
2	26	07*zTBoKimHoµn	248	0	99	10	4	6	4
2	27	08*AcQuyCuongDam	338	0	99	68	49	6	3
2	28	01*ICaChepI	241	0	91	19	20	6	3
2	29	07*AcQuyCuongDao	301	0	99	62	45	6	3
2	30	03*IzoPigUNu	228	0	96	50	41	4	5
2	31	02*ixNgaoOp	291	0	98	12	2	12	2
2	32	07*IoS¬nTiªnSinhBN	223	0	97	13	10	7	5
2	33	11*TµnChÝQu¸i§ao	289	0	95	42	65	18	10
2	34	32*xTayMonDaiKax	189	0	97	107	107	3	6
2	35	25*HLxS2oIoVuaPk	269	0	98	64	52	7	2
2	36	43*ChemGiokr	342	0	95	79	56	8	8
2	37	02*ZIiTransformer	346	0	99	78	41	5	7
2	38	50*¢uD­¬ngTiªnSinh	357	0	96	84	46	6	3
2	39	09*QuyDuHaTien	328	0	99	87	70	15	13
2	40	02*ductien1011dx	324	0	98	171	149	7	7
2	41	09*1stSpring	319	0	99	97	81	6	6
2	42	43*oOThangBOzz	318	0	99	68	48	5	4
2	43	10*SkyRunner	315	0	99	137	120	6	3
2	44	09*SilentLong	305	0	99	48	33	4	5
2	45	23*IzAlejandro	276	0	97	64	58	18	16
2	46	08*biebie	297	0	97	37	25	12	2
2	47	15*IxS2xINhøcN¸ch	266	0	98	74	64	6	5
2	48	14*§éngVËtQuýHiÕm	303	0	97	55	45	19	17
2	49	07*TenoScorpioHero	251	0	99	38	36	4	5
2	50	01*ThÇn§aoC¸ChÐp	334	0	94	39	25	11	5
2	51	01*zZ4jZ4jn3v3rCrY	247	0	98	73	75	11	9
2	52	08*achung	301	0	96	26	14	23	14
2	53	11*s2oPhi§ao	240	0	92	25	22	4	5
2	54	08*DavidHau2828	296	0	99	61	49	5	4
2	55	14*o0WaterBuffal0o	224	0	98	10	10	5	4
2	56	07*ZHarryPotter	334	0	98	60	43	7	2
2	57	17*ChipSexyboy2	209	0	96	34	39	0	9
2	58	02*C«ngAnTh«n	275	0	99	30	19	5	4
3	1	16*Jx2OngBak	441	100	93	94	44	12	3
3	2	15*CaSaSanPum	393	90	99	42	19	24	17
3	3	09*zRainDropzCZ	375	85	98	109	46	5	6
3	4	22*iSvLaHanDayXeBo	368	80	92	97	49	7	4
3	5	09*iliYugoS2Yuri	367	75	98	84	48	11	6
3	6	03*VIPPoseidon	362	70	98	193	124	7	5
3	7	50*73zHiIamDauTroc	359	65	98	107	73	6	4
3	8	17*NhiuDinhPro	356	60	97	89	61	7	3
3	9	16*tamquocchi	353	55	99	109	78	9	7
3	10	07*DauTroCxx9Cham	349	50	97	127	90	26	20
3	11	09*BacKieuPhongTLT	256	0	99	81	74	38	35
3	12	01*ZxLªQuúnhxZ	295	0	99	55	57	4	5
3	13	08*ZTLTzThanTUongZ	263	0	98	8	1	8	1
3	14	07*ZzNguynVanNamzZ	302	0	97	18	8	9	0
3	15	14*osGoTioss	265	0	99	16	10	14	9
3	16	35*izLyThienVuongz	290	0	97	39	24	5	6
3	17	03*oUSAoVagabondz	291	0	97	63	49	9	4
3	18	08*xxxCoGiaoThao	337	0	98	200	159	14	14
3	19	07*SexxyBaby	337	0	96	15	1	15	1
3	20	07*1stCaXaVaoMom	253	0	97	18	12	18	12
3	21	11*xThienMaLoanVux	249	0	98	22	17	5	4
3	22	09*o0oAlex	308	0	96	57	60	4	5
3	23	15*oS2oThjckChoiGaj	297	0	96	9	0	9	0
3	24	07*OzTr­îngH­V«z0	255	0	97	34	25	6	3
3	25	15*StickMan	310	0	99	99	82	5	4
3	26	02*LoDich32Rang	336	0	96	16	3	8	1
3	27	07*zXz1StDatMaToSu	335	0	99	134	108	9	7
3	28	14*ZaTruTri	334	0	85	272	222	6	3
3	29	01*ZzALitXangDerZz	331	0	99	130	96	9	8
3	30	08*iiHDx981	331	0	96	208	157	10	10
3	31	08*TruongHuyen9495	323	0	97	31	17	7	4
3	32	35*TLTTeLeTeLe	317	0	98	101	75	13	12
3	33	16*HoaBanXuongNui	248	0	96	52	47	4	5
3	34	07*Z0iavaochua0Z	248	0	96	26	18	3	6
3	35	91*KhongMinhxz	253	0	99	35	26	7	5
3	36	15*S2Anh4BanIphone	255	0	94	85	77	25	24
3	37	08*ZzCaSavoDoiZsss	256	0	99	73	65	2	7
3	38	06*IZkenvin	262	0	98	65	58	4	5
3	39	25*IzzLaDyKiller	264	0	99	19	11	12	8
3	40	07*KcvPervertMonk	300	0	98	73	59	6	4
3	41	20*JenyFerTuyÕt§ªm	290	0	97	81	61	4	5
3	42	08*xTLTxHandSome	299	0	99	54	37	5	4
3	43	17*NTTUniversity	286	0	96	93	76	31	34
3	44	03*xzInCREDiBleHS	315	0	97	16	5	14	5
3	45	02*oHoBOVOTUIoHo	283	0	96	91	79	12	13
3	46	03*TLTNo1ThanhNam	338	0	99	334	286	13	10
3	47	09*S2AnhEm	281	0	96	79	61	4	5
3	48	02*NguoiKoMangHo	296	0	99	30	25	9	0
3	49	08*L0ngTieuTu	277	0	96	46	39	6	3
3	50	04*zIzLoveAlice	296	0	97	77	56	5	6
3	51	09*ooooMrCat	276	0	99	58	53	5	4
3	52	02*NinePisff	306	0	99	82	67	10	6
3	53	08*TNooMaiYeuEm	272	0	99	43	36	5	4
3	54	01*93HyKonGaNay	339	0	99	85	71	8	4
3	55	17*oS2oWhyNot	270	0	99	34	32	4	5
3	56	68*MTzVoDanhTang	303	0	96	65	50	5	4
3	57	08*iS2iDongDong	316	0	99	93	79	12	12
3	58	09*1stTroVezMH	318	0	99	83	67	5	4
3	59	39*zzzKaRaOKezzz	329	0	98	117	95	14	11
3	60	09*AcBienHoaHCM	331	0	99	14	1	9	0
3	61	17*zDanChoiNuaMua	332	0	97	95	77	12	10
3	62	62*0o0DnINOMAX0o0	335	0	98	222	181	14	11
3	63	33*ThieuLam3G	349	0	99	36	17	7	2
3	64	09*zBritainUSx	255	0	98	61	60	5	4
3	65	09*zHoAngTuMap	299	0	97	70	59	8	10
3	66	06*BijLarDens777	254	0	97	14	10	3	6
3	67	17*S2z§¹iS­MªG¸izZ	252	0	97	51	43	5	4
3	68	08*oiATK90	342	0	99	159	126	6	3
3	69	20*SuperSoi	258	0	97	67	60	7	2
3	70	03*iIiMarky	295	0	99	55	48	5	4
3	71	02*oHuyenThoaiTLTo	263	0	99	50	62	7	9
3	72	01*tltVIP	305	0	99	48	34	12	8
3	73	02*xzHoangDiepzx	265	0	97	49	39	5	5
3	74	66*MrMaCaRong	291	0	96	59	48	6	3
3	75	09*CoGiaoThaoVN	342	0	98	200	156	14	11
3	76	03*o0Kh«ngYªu0o	349	0	96	224	178	12	8
3	77	35*1StzTroVeCatBuiz	305	0	98	62	50	7	2
3	78	11*520zWhereDoWeGo	303	0	97	40	31	22	23
3	79	17*zQuyetMaTroVez	266	0	99	17	12	11	7
3	80	07*xxx1CuKhoai9	291	0	99	37	28	21	23
3	81	20*zZHrChi	271	0	91	49	41	5	4
3	82	62*ooMrKotexoo	305	0	94	35	23	5	4
3	83	07*zFBCzKhoaiTo17cm	275	0	97	29	28	3	6
3	84	01*TLTxxQuªn§iEm	309	0	98	67	46	3	6
3	85	20*oCQzCaSaToanMiss	276	0	98	8	1	8	1
3	86	16*SoDaCoCa	296	0	99	63	43	12	12
3	87	11*zMagicWand	280	0	97	22	13	4	5
3	88	09*oS2oAnMinh	296	0	98	133	111	4	5
3	89	08*iTrynDameRE	282	0	99	28	18	8	1
3	90	10*HrThichTamMua	314	0	97	21	8	21	8
3	91	02*TjeuNga0GjangH0	283	0	99	41	48	6	3
3	92	02*D0oH0agVinho0C	306	0	98	57	42	7	8
3	93	39*IoIOnePecieIoI	287	0	92	34	23	5	4
3	94	07*MrChjPhe0	300	0	98	37	23	5	4
3	95	22*Fc37Saker191	264	0	98	13	7	7	3
3	96	02*St0zTruongCuiz0	262	0	99	50	46	9	9
3	97	66*toanthangai1	256	0	94	48	42	5	4
3	98	25*QuatarKill	254	0	99	95	86	5	5
3	99	08*OMGNice	253	0	96	41	41	14	9
3	100	07*§¹iS­Xèn	248	0	99	60	54	4	5
4	1	03*NVzOngPhonCZ	424	100	99	122	59	7	5
4	2	09*QMzNhokSieuQuay	410	90	99	88	51	7	2
4	3	07*1stHanhS2Yen	397	85	99	183	118	16	12
4	4	03*zChanSutVoDichz	393	80	99	85	45	10	3
4	5	11*Ares11o2	393	75	99	89	41	10	1
4	6	11*HITMANSHAOLlN	384	70	98	79	33	8	1
4	7	03*iiovzZBuBuMap	380	65	97	40	21	10	4
4	8	15*oS2oTaySoBaVuong	378	60	99	270	219	13	9
4	9	08*S2xVuDieuTango	377	55	98	138	95	28	22
4	10	14*zN4zKaido	376	50	99	148	105	7	2
4	11	11*thienlan	314	0	99	70	57	9	0
4	12	25*iiiSutToMoDit	330	0	96	43	25	8	1
4	13	02*OhMyFuck	316	0	98	37	24	20	11
4	14	07*iiMysteryDream	336	0	99	48	35	7	3
4	15	11*HPzSutLaChet	318	0	98	62	49	6	3
4	16	07*S2PeLeNo1S2	327	0	95	99	76	9	5
4	17	22*QfxxGaConxx	328	0	98	21	7	6	3
4	18	08*xoxTraiQue	364	0	92	102	58	22	14
4	19	08*Jx2FcxChiViEmz	362	0	99	18	2	18	1
4	20	04*oShayneWard	312	0	97	59	46	6	3
4	21	24*AnhKhongDoiQua	311	0	99	144	131	6	6
4	22	15*zZzVoTinhzZz	341	0	99	98	78	6	3
4	23	66*IQuyÕtYªuEmI	332	0	93	55	40	6	5
4	24	62*oOoTroVeCatBuj	312	0	96	54	50	12	6
4	25	07*oSlgzDarkPrince	343	0	99	57	27	6	3
4	26	33*1BKV1102	359	0	99	137	75	11	7
4	27	22*zG69ShockEva	359	0	97	63	29	6	3
4	28	08*HHo0verL0VE	357	0	97	143	88	6	5
4	29	03*KNzGjaPhong	353	0	99	170	137	6	3
4	30	03*iiovzZBuBuRom	352	0	99	142	96	7	3
4	31	08*14SutToanTruot	349	0	99	148	110	13	10
4	32	17*iZzDaiKadiINOVA	346	0	99	156	132	7	2
4	33	66*oIoKenny	310	0	97	75	53	4	5
4	34	19*zHotHayHayHotz	311	0	99	60	38	6	6
4	35	03*z7zLeeSin	311	0	97	91	75	5	5
4	36	04*JX2oKhongQuanTam	312	0	96	138	126	13	12
4	37	02*PhaGioiDaiTang	314	0	98	198	177	12	12
4	38	26*ixzTeenSayLak	315	0	99	69	52	5	5
4	39	22*o0KoEmYeu	317	0	96	74	58	6	3
4	40	23*oIoLongTamoIo	335	0	97	152	116	21	19
4	41	07*Zz14zAnhDaVezZ	326	0	98	160	139	12	10
4	42	02*IoGodWarZ	332	0	98	249	197	6	5
4	43	14*zN4zCay7Mon	323	0	99	320	283	19	20
4	44	50*ZzPigGurazzzz	344	0	99	208	147	10	8
4	45	23*NganNoiNhoDenEm	322	0	98	82	53	7	7
4	46	35*IzDuongThienLong	365	0	97	80	34	11	10
4	47	01*ZxKiepVeSauxZ	322	0	99	16	2	16	2
4	48	50*zIzRioBuiTranDJ	331	0	99	66	40	7	4
4	49	06*zzIoHeiNeKen	320	0	98	117	100	7	2
4	50	08*zvVOTONGzv	330	0	98	27	13	6	4
4	51	14*HPzGaTapSut	320	0	99	96	81	7	2
4	52	09*zKSIzLuxuryX3	340	0	99	17	3	6	3
4	53	90*Mrben678	319	0	97	54	39	5	4
4	54	15*iiBvLeeMyHomexx	365	0	99	238	179	21	14
4	55	09*XuatSu9x	319	0	99	52	47	7	2
4	56	02*o0thu4nthi3n0o	337	0	99	76	55	6	4
4	57	07*zThuKhoGoiTenEmz	346	0	99	95	72	6	3
4	58	23*QfxxSocLaSucXX	346	0	99	71	52	6	3
4	59	12*zIzPhuDu	350	0	99	142	122	6	3
4	60	12*iPeTapSut	352	0	99	227	187	14	11
4	61	90*sOsiKey	354	0	95	85	62	6	3
4	62	35*iizMTBeer	357	0	99	86	51	10	6
4	63	50*Jx2RedMoon	372	0	99	246	198	9	7
4	64	62*zzIzHoangTuRong	314	0	99	38	24	8	1
4	65	35*TPzBongMaDiDong	332	0	99	126	94	11	7
4	66	11*o0oDajSuDi3n	312	0	98	90	72	11	9
4	67	09*OKooooooooK	311	0	98	92	80	6	3
4	68	08*zDKziWonHwangNAM	368	0	98	274	227	20	15
4	69	01*Tellero0oFe	315	0	99	46	32	5	4
4	70	66*zHotHayHayHotz	330	0	99	65	43	11	11
4	71	24*QfxxkuToNhuPic	316	0	99	67	51	6	3
4	72	08*HHoQuyenCuoc	339	0	99	121	84	6	3
4	73	07*QnHoangTuEchTB	318	0	99	72	50	4	5
4	74	10*iiiDuyPhoMa	328	0	99	131	96	9	7
4	75	50*oDJoAmsterdamo	369	0	99	97	65	8	3
4	76	14*zN4zTizan	370	0	96	254	164	7	3
4	77	07*KRChanKhongGiay	338	0	99	41	25	6	3
4	78	08*IoLangTuPhieuBac	338	0	99	182	137	12	10
4	79	04*ssPToCuaRangMe	318	0	99	67	54	21	19
4	80	09*AcEzzSeanShizz	329	0	99	65	46	8	6
4	81	17*iNvCuongKvzs2z	319	0	99	99	90	10	5
4	82	22*KNoGjaPhong	340	0	99	163	134	8	5
4	83	07*Jx2GaPKTLQ	320	0	96	127	99	15	15
4	84	12*zAnhQuanz	343	0	99	97	69	6	3
4	85	04*oFAoJx2RedLion	320	0	99	60	45	9	6
4	86	02*BoyThanCuocNo1	331	0	99	242	210	5	4
4	87	02*oIoTinhNghick	321	0	99	127	107	5	4
4	88	07*iPNzMeoBeo	331	0	97	35	20	5	4
4	89	23*zoanhcuocII	322	0	99	64	47	6	6
4	90	07*XzXThiEnBa0XzX	343	0	98	184	154	16	14
4	91	20*x60xziLQPiz1994	323	0	99	38	22	10	6
4	92	22*NzGaYeuVit	340	0	98	171	115	7	6
4	93	06*IoHoaVoKhuyet2	323	0	87	135	108	6	3
4	94	08*GiaoCauTreEm	335	0	99	157	129	27	24
4	95	06*xxNhutEuRoxx	317	0	99	53	33	5	4
4	96	19*IQuyÕtYªuEmI	315	0	93	54	39	5	4
4	97	06*zzxichlong86zz	314	0	96	123	108	11	11
4	98	16*o0Hoa12h0o	312	0	99	27	16	6	5
4	99	15*ConGaTLQ23	311	0	99	96	87	5	4
4	100	22*iiSingleMenz	310	0	98	12	2	12	2
6	1	15*iovzZBiRain	474	100	99	273	120	9	0
6	2	07*iiiiiDeepAsSea	408	90	99	298	212	11	4
6	3	09*AcEzzDocCaNoc	404	85	99	183	115	26	20
6	4	03*Jx2DraculaDkzHQ	402	80	97	147	90	9	5
6	5	17*SGUniversity	399	75	97	128	59	13	9
6	6	03*JX2iHeroBaby	393	70	98	312	210	12	8
6	7	08*BuiDoiBinhPhuoc	389	65	99	142	46	10	2
6	8	91*oooZoMrKING	385	60	97	45	18	12	7
6	9	33*IxPeZuns	376	55	99	171	108	16	10
6	10	10*AngelinaTuyet	366	50	98	76	53	13	9
6	11	17*dahoai08	263	0	97	53	43	3	6
6	12	03*1PTieuLyPhiTieu	300	0	98	89	74	28	17
6	13	09*zxTr4nH4oN4mzx	266	0	99	32	26	6	4
6	14	09*iz1110FreezeAL	317	0	99	77	50	5	6
6	15	06*oGÊuBooz	269	0	99	64	57	6	3
6	16	09*zComeBackMHz	296	0	98	24	14	12	8
6	17	10*iiMrsVampire	299	0	96	84	70	18	18
6	18	23*0zPkL·oTæz0	350	0	99	44	22	6	3
6	19	24*HHzBachHo	349	0	98	170	98	5	6
6	20	23*3w213123123	253	0	99	10	5	5	4
6	21	08*KhongKhongTu	248	0	96	28	24	12	10
6	22	02*zS2zHunterz	326	0	95	143	103	6	3
6	23	43*bocuahoangthuong	311	0	99	77	58	5	5
6	24	11*zICoCo9xIz	255	0	99	30	23	10	9
6	25	03*OoDiepHyoO	327	0	95	27	14	21	14
6	26	14*HoKhongTenXoan	349	0	98	68	32	9	7
6	27	26*xKFCxGraves	347	0	99	99	79	6	3
6	28	03*iIiDartsmen	343	0	98	108	72	7	3
6	29	01*1sTcuteKuTeo	339	0	95	119	94	7	3
6	30	02*HoaMécLan	337	0	98	95	79	16	12
6	31	50*N0Stop	332	0	96	39	21	6	3
6	32	04*JungleOfLeeSin	330	0	99	14	1	14	1
6	33	01*hoanganhkyhiep	247	0	98	26	19	5	4
6	34	07*SiTHixAnLuOnSi	248	0	99	14	10	10	4
6	35	07*sokono787	253	0	96	25	21	6	3
6	36	66*BongDungMatSau	254	0	99	7	4	7	2
6	37	10*iIGiotLeMrThang	258	0	97	84	66	7	2
6	38	07*MrSeptember11th	265	0	99	28	20	4	5
6	39	17*ZxZKissMyZxZ	269	0	99	14	5	8	1
6	40	08*EmLaiSay	315	0	97	102	80	6	5
6	41	20*DeleteAlll	292	0	97	106	82	4	6
6	42	08*zIzATuLazIz	312	0	99	83	65	11	10
6	43	17*iixNamLayTayAnh	292	0	96	70	61	5	4
6	44	23*LxLionLx	329	0	97	74	43	6	5
6	45	07*xTruyT©mTiÔnx	289	0	99	78	68	54	49
6	46	03*iiovzZPhjTieu	353	0	99	122	61	5	4
6	47	07*HoangTuAnh	286	0	97	99	105	7	2
6	48	07*ilMrIPhone5	309	0	98	34	20	34	20
6	49	08*iIoSatThu	281	0	95	35	29	7	3
6	50	25*iSvkUnSAyBiaKen	304	0	97	203	183	6	6
6	51	04*ChEtlAgI	280	0	99	58	44	16	16
6	52	12*o1zHoaThienDieu	324	0	92	71	49	16	13
6	53	12*iNAzQuanAnCuop	279	0	93	38	26	4	5
6	54	03*ozMissingYou	354	0	99	99	44	5	4
6	55	24*TrumPhiaNam	276	0	98	86	67	5	9
6	56	09*satthu124	317	0	99	170	144	4	6
6	57	66*S2PhongVanLy	330	0	98	196	162	16	14
6	58	08*LCzGrimReaperKun	332	0	98	100	59	7	5
6	59	20*zLzKeoChanh	335	0	97	86	53	7	4
6	60	09*wwSANGww	338	0	97	38	22	9	0
6	61	08*zanhanhz	343	0	97	44	29	6	3
