route	rank	name	point	zige_point	level	totlewin	totlelose	weekwin	weeklose
2	1	16*xxRayleighxx	409	100	99	170	131	57	47
2	2	02*VNoFirstLove	408	90	94	120	81	20	13
2	3	89*zFMzTrongDKz	401	85	95	69	37	7	2
2	4	09*Jx2iNgoaLong	399	80	91	70	39	20	15
2	5	03*oTuyetVanPhong	396	75	96	91	48	32	25
2	6	08*TTPGiangNhatLam	394	70	96	400	338	66	56
2	7	07*ooMasterYi	387	65	99	75	47	25	17
2	8	22*zFMzTrongDK	387	60	95	61	35	28	20
2	9	39*TrocTLD	375	55	95	81	45	7	3
2	10	02*ZIiTransformer	372	50	99	32	15	15	9
2	11	15*IxS2xINhøcN¸ch	241	0	98	57	49	5	4
2	12	16*oS2oTron	284	0	99	32	24	4	5
2	13	32*xTayMonDaiKax	249	0	97	70	65	26	24
2	14	01*zZ4jZ4jn3v3rCrY	301	0	96	49	46	5	5
2	15	09*1stSpring	269	0	99	63	55	2	7
2	16	25*NeverBetting	299	0	97	57	28	4	5
2	17	08*DavidHau2828	286	0	99	44	36	4	5
2	18	16*tryndamere	306	0	91	25	12	15	10
2	19	06*ZoHoaV«KhuyÕtoZ	309	0	99	32	22	32	22
2	20	33*ChuonChuonChua	321	0	98	51	28	10	4
2	21	09*IzoKeoLacS2	323	0	95	29	15	15	12
2	22	91*1RauMuèng1	325	0	91	55	37	6	3
2	23	02*ductien1011dx	329	0	98	131	111	38	33
2	24	02*zHanVuongz	371	0	99	82	53	13	8
2	25	16*xxXxxNhjcKxxXxx	370	0	92	123	92	82	71
2	26	16*iiiiiNeverDie	366	0	96	81	39	8	2
2	27	15*oOoMaDaoZzZ	283	0	94	59	46	37	38
2	28	01*ThÇn§aoC¸ChÐp	239	0	90	8	3	8	3
2	29	70*nhovaem	294	0	93	75	62	17	16
2	30	33*iiiThuongBinh	230	0	99	56	50	3	9
2	31	15*ZzZo0oXxX	303	0	99	53	42	8	7
2	32	03*DatMaDao	225	0	95	16	13	3	6
2	33	22*oHoaVinho	268	0	99	48	35	22	17
2	34	39*iMrLonely	217	0	96	34	33	5	4
2	35	11*s2oPhi§ao	262	0	91	9	2	9	2
2	36	24*ZoZNghiaHeRoZoZ	185	0	96	25	25	16	16
2	37	10*SkyRunner	300	0	99	107	91	14	13
2	38	50*iiiCrazyBody	184	0	99	10	15	3	6
2	39	39*o0KjmTheDuy0o	291	0	99	28	16	20	14
2	40	11*TµnChÝQu¸i§ao	155	0	90	7	23	4	8
2	41	50*iS2ComBoS2i	247	0	98	47	43	47	43
2	42	63*oALPHAandOMEGAo	141	0	91	5	15	2	7
