route	rank	name	point	zige_point	level	totlewin	totlelose	weekwin	weeklose
2	1	02*VNoFirstLove	386	380	93	100	67	18	12
2	2	39*TrocTLD	364	380	95	73	42	9	6
2	3	08*TTPGiangNhatLam	357	365	96	333	282	44	43
2	4	73*oOThangBOzz	337	300	95	37	20	7	2
2	5	19*z§åThÇnKinh	323	300	94	58	40	5	4
2	6	06*OoThiÕuL©moO	311	300	92	43	26	4	5
2	7	10*SkyRunner	306	300	99	92	78	20	19
2	8	33*ZzzzTrauChien	328	290	95	78	56	35	32
2	9	03*IzoPigUNu	298	290	91	37	24	4	6
2	10	50*¢uD­¬ngTiªnSinh	379	285	94	51	25	21	16
2	11	04*G4meOver	340	285	91	63	41	6	3
2	12	90*Buchymhuyenthoai	275	280	96	29	18	3	6
2	13	07*AcQuyCuongDao	314	280	96	36	21	6	3
2	14	07*Truy3nThuy3tTLD	343	275	93	55	32	6	3
2	15	12*wwDanhBuLonww	249	270	99	25	17	5	4
2	16	02*vipstyle	364	270	94	75	50	32	26
2	17	07*NhatRacMuaSh	330	265	92	54	36	5	4
2	18	03*1PMrMapLaoDai	327	265	98	65	41	6	3
2	19	39*volamkholuyen	300	265	94	55	39	4	5
2	20	09*hoangkilong	257	260	97	136	122	9	11
2	21	33*iiiThuongBinh	298	255	99	53	40	6	4
2	22	08*TheSilentOfLove	286	245	89	44	32	12	7
2	23	16*zIYaHoooo	288	240	92	44	30	6	3
2	24	17*Chanvailonvl2	138	240	92	38	61	1	8
2	25	17*Vailonchamcom	151	235	91	34	50	1	7
2	26	07*ooMasterYi	344	235	99	49	30	8	5
2	27	16*ZzDkmPro120zZ	327	235	99	88	69	7	2
2	28	89*oIoNhiepPhongoIo	378	200	97	173	132	10	6
2	29	91*DeckDuaDau	289	200	91	26	16	4	6
2	30	09*GiangThienCau	325	200	92	39	21	4	5
2	31	15*IxS2xINhøcN¸ch	228	200	98	51	45	10	13
2	32	12*IKERxHateAll	285	200	90	27	15	4	5
2	33	33*ChuonChuonChua	273	200	98	40	24	2	9
2	34	15*ZzZo0oXxX	281	190	98	44	35	6	3
2	35	33*IIxxPhanTang	312	190	94	33	19	4	5
2	36	20*DongHiep	244	180	99	43	37	5	5
2	37	09*SilentLong	275	180	98	20	11	3	6
2	38	13*zKuManNinZaz	211	180	93	19	18	4	5
2	39	91*1RauMuèng1	308	180	90	48	34	7	2
2	40	04*YxHanTuongTuxY	264	175	90	23	16	3	6
2	41	16*IsAceIsOneIsPice	309	175	95	57	42	15	13
2	42	25*IoLuuManh	193	175	98	32	50	4	5
2	43	50*iMHandSome	300	175	94	27	15	6	3
2	44	07*Qu¶Trøng	298	175	92	29	17	5	4
2	45	39*iiYagamiRaito	313	170	92	29	17	5	4
2	46	02*zHanVuongz	333	170	99	68	45	12	11
2	47	16*oS2oTron	300	165	99	27	19	5	7
2	48	22*zFMzTrongDK	349	160	94	33	14	17	11
2	49	20*KeHuiDiet	254	160	93	44	39	6	4
2	50	08*TLDCuaNgayH0mNay	302	155	90	21	9	4	6
2	51	07*zKaRaMenz	286	155	92	18	11	4	5
2	52	16*xxXxxNhjcKxxXxx	345	155	91	41	20	8	3
2	53	03*1§aoChÕtCh¾c	277	150	90	20	11	6	3
2	54	07*AoVxTLD	225	150	90	22	19	4	5
2	55	03*SongMotLan	187	135	93	30	72	3	6
2	56	08*§aLong	247	120	95	43	58	6	3
2	57	90*MTP444	142	115	90	19	32	0	5
2	58	16*ZxKhëiV¹nZx	247	115	98	46	50	5	5
2	59	29*TLDzOnePiece	267	100	99	14	5	5	4
2	60	32*xTayMonDaiKax	228	100	97	43	41	17	23
2	61	01*zZ4jZ4jn3v3rCrY	283	100	95	39	36	6	4
2	62	17*iPaNaDol	250	100	96	50	46	5	4
2	63	90*oTiÓutöoLúo	329	100	99	31	16	18	14
2	64	09*Jx2iNgoaLong	409	100	91	50	23	20	7
