MainName	SubName	MainId	SubId	ExtId	Count
DiXuanGong	MissionOpenCount	1	1	0	0
DiXuanGong	MissionOpenCount	1	1	1	54
DiXuanGong	JoinPlayerCount	1	2	0	318
DiXuanGong	AllPassPlayerCount	1	3	0	155
DiXuanGong	Level80-89PlayerCount	1	4	0	0
DiXuanGong	Level90-99PlayerCount	1	5	0	318
DiXuanGong	RebornPlayerCount	1	6	0	318
DiXuanGong	BackDoorTotalCount	1	7	0	54
DiXuanGong	Forward3TotalCount	1	8	0	54
DiXuanGong	AllPassTotalCount	1	9	0	27
DiXuanGong	EnergyBoxOpenCount	1	10	0	0
DiXuanGong	TyHalidomOpenCount	1	11	0	816
DiXuanGong	FindblackHandsCount	1	12	0	128
DiXuanGong	TianJiaoLing-UseCount	1	13	0	1768
DiXuanGong	TMGL-OutputCount	1	14	0	0
DiXuanGong	PlayerRouteCount	1	15	0	0
DiXuanGong	PlayerRouteCount	1	15	4	58
DiXuanGong	PlayerRouteCount	1	15	8	54
DiXuanGong	PlayerRouteCount	1	15	20	5
DiXuanGong	PlayerRouteCount	1	15	29	201
DiXuanGong	Item3L-OutputCount	1	16	0	0
DiXuanGong	Item3X-OutputCount	1	17	0	0
DiXuanGong	ItemMYZ-OutputCount	1	18	0	0
DiXuanGong	ItemMYC-OutputCount	1	19	0	0
DiXuanGong	TaskChuTanFinishCount	1	20	0	4
DiXuanGong	TaskDaPoFinishCount	1	21	0	4
DiXuanGong	TaskZhuiXiongFinishCount	1	22	0	4
ItemBingJingShi	C2ItemXCount	2	1	0	0
ItemBingJingShi	C3ItemXCount	2	2	0	0
ItemBingJingShi	C2ItemLCount	2	3	0	0
ItemBingJingShi	C3ItemLCount	2	4	0	0
ItemBingJingShi	C4XiXinShiCount	2	5	0	2
ItemBingJingShi	C3LianTieLuCount	2	6	0	0
LingShan	OpenCount	3	1	0	0
LingShan	OpenCount	3	1	1	2
LingShan	OpenPlayerCount	3	2	0	7
LingShan	AllPassPlayerCount	3	3	0	0
LingShan	OpenLevel80-89PlayerCount	3	4	0	0
LingShan	OpenLevel90-99PlayerCount	3	5	0	7
LingShan	OpenRebornPlayerCount	3	6	0	7
LingShan	BackDoorTotalCount	3	7	0	2
LingShan	First4StagePassCount	3	8	0	2
LingShan	AllPassTotalCount	3	9	0	0
LingShan	TianJiaoLingConsumeNum	3	10	0	29
LingShan	UseJuYiLingForBuffCount	3	11	0	0
LingShan	TianGangLingProduceNum	3	12	0	0
LingShan	OpenRoutePlayerCount	3	13	0	0
LingShan	OpenRoutePlayerCount	3	13	4	1
LingShan	OpenRoutePlayerCount	3	13	8	2
LingShan	OpenRoutePlayerCount	3	13	11	1
LingShan	OpenRoutePlayerCount	3	13	20	1
LingShan	OpenRoutePlayerCount	3	13	23	1
LingShan	OpenRoutePlayerCount	3	13	29	1
LingShan	PassRoutePlayerCount	3	14	0	0
LingShan	TaskChuYanFinishCount	3	15	0	0
LingShan	TaskZhongYongFinishCount	3	16	0	0
LingShan	TaskDuoJunFinishCount	3	17	0	0
WanJianZhong	OpenCount	4	1	0	0
WanJianZhong	OpenCount	4	1	1	1
WanJianZhong	AllPassTotalCount	4	2	0	0
WanJianZhong	OpenPlayerCount	4	3	0	7
WanJianZhong	AllPassPlayerCount	4	4	0	0
WanJianZhong	OpenLevel80-89PlayerCount	4	5	0	0
WanJianZhong	OpenLevel90-99PlayerCount	4	6	0	7
WanJianZhong	OpenRebornPlayerCount	4	7	0	7
WanJianZhong	FreeCardCount	4	8	0	0
WanJianZhong	IBCardCount	4	9	0	0
WanJianZhong	TianJiaoLingConsumeNum	4	10	0	3
WanJianZhong	GuLingYuProduceNum	4	11	0	0
WanJianZhong	SuperBookProduceNum	4	12	0	0
WanJianZhong	OpenRoutePlayerCount	4	13	0	0
WanJianZhong	OpenRoutePlayerCount	4	13	4	1
WanJianZhong	OpenRoutePlayerCount	4	13	8	1
WanJianZhong	OpenRoutePlayerCount	4	13	12	1
WanJianZhong	OpenRoutePlayerCount	4	13	15	1
WanJianZhong	OpenRoutePlayerCount	4	13	17	1
WanJianZhong	OpenRoutePlayerCount	4	13	20	1
WanJianZhong	OpenRoutePlayerCount	4	13	29	1
WanJianZhong	PassRoutePlayerCount	4	14	0	0
WanJianZhong	TaskTongGuan1FishCount	4	15	0	0
WanJianZhong	TaskTongGuan7FishCount	4	16	0	0
WanJianZhong	TaskFanPai1FishCount	4	17	0	0
WanJianZhong	TaskFanPai15FishCount	4	18	0	0
TongTianHuanJing	OpenCount	5	1	0	0
TongTianHuanJing	StageXPassCount	5	2	0	0
TongTianHuanJing	AllPassTotalCount	5	3	0	0
TongTianHuanJing	OpenPlayerCount	5	4	0	0
TongTianHuanJing	PassStageXPlayerCount	5	5	0	0
TongTianHuanJing	AllPassPlayerCount	5	6	0	0
TongTianHuanJing	OpenLevel80-89PlayerCount	5	7	0	0
TongTianHuanJing	OpenLevel90-99PlayerCount	5	8	0	0
TongTianHuanJing	OpenRebornPlayerCount	5	9	0	0
TongTianHuanJing	FreeCardCount	5	10	0	0
TongTianHuanJing	IBCardCount	5	11	0	0
TongTianHuanJing	TongTianLingConsumeNum	5	12	0	0
TongTianHuanJing	TianMenJinLingProduceNum	5	13	0	0
TongTianHuanJing	TianMenSuiPianProduceNum	5	14	0	0
TongTianHuanJing	OpenRoutePlayerCount	5	15	0	0
TongTianHuanJing	PassRoutePlayerCount	5	16	0	0
ItemUseCount	Level1KnifeStone	6	1	0	0
ItemUseCount	Level2KnifeStone	6	2	0	0
ItemUseCount	Level3KnifeStone	6	3	0	0
TongFeast	RaidDropCjszPig	7	1	0	84
TongFeast	RaidDropCjszWine	7	2	0	0
TongFeast	RaidDropWjzPig	7	3	0	0
TongFeast	RaidDropWjzWine	7	4	0	0
TongFeast	RaidDropLsCow	7	5	0	2
TongFeast	RaidDropLsWine	7	6	0	0
TongFeast	RaidDropDxgCow	7	7	0	491
TongFeast	RaidDropDxgWine	7	8	0	1
TongFeast	RaidDropTxSheep	7	9	0	25
TongFeast	RaidDropTxWine	7	10	0	0
TongFeast	RaidDropTtdSheep	7	11	0	0
TongFeast	RaidDropTtdWine	7	12	0	0
TongFeast	BattleDropKfBacon	7	13	0	0
TongFeast	BattleDropKfWine	7	14	0	0
TongFeast	BattleDropSlBacon	7	15	0	0
TongFeast	BattleDropSlWine	7	16	0	0
TongFeast	BattleDropTmzBacon	7	17	0	19
TongFeast	BattleDropTmzWine	7	18	0	0
TongFeast	TongCountCjsz	7	19	0	0
TongFeast	TongCountCjsz	7	19	1	4
TongFeast	TongCountCjsz	7	19	2	4
TongFeast	TongCountCjsz	7	19	6	6
TongFeast	TongCountCjsz	7	19	7	6
TongFeast	TongCountWjz	7	20	0	0
TongFeast	TongCountLs	7	21	0	0
TongFeast	TongCountLs	7	21	1	4
TongFeast	TongCountDxg	7	22	0	0
TongFeast	TongCountDxg	7	22	1	71
TongFeast	TongCountDxg	7	22	2	184
TongFeast	TongCountDxg	7	22	4	34
TongFeast	TongCountTx	7	23	0	0
TongFeast	TongCountTx	7	23	1	38
TongFeast	TongCountTtd	7	24	0	0
TongFeast	TotalCountPig	7	25	0	0
TongFeast	TotalCountCow	7	26	0	0
TongFeast	TotalCountSheep	7	27	0	0
TongFeast	TotalCountBacon	7	28	0	0
TongFeast	TotalCountTableChair	7	29	0	0
TongFeast	TotalCountCooker	7	30	0	0
TongFeast	ChefUseTimes18	7	31	0	0
TongFeast	ChefUseTimes19	7	32	0	0
TongFeast	ChefUseTimes20	7	33	0	0
TongFeast	IBShopBoxHZ	7	34	0	0
TongFeast	IBShopBoxGY	7	35	0	0
TongFeast	IBShopBoxXZ	7	36	0	0
TongFeast	IBShopGjBoxHZ	7	37	0	0
TongFeast	IBShopGjBoxGY	7	38	0	0
TongFeast	IBShopGjBoxXZ	7	39	0	0
TongFeast	IBShopBoxUpgrade	7	40	0	0
TongFeast	IBShopGjBoxUpgrade	7	41	0	0
TongFeast	IBShop3000YinJuan	7	42	0	0
TongFeast	IBShopBugaoXie	7	43	0	0
TongFeast	IBShopTongJiuZhou	7	44	0	0
TongFeast	IBShopTongYaoYang	7	45	0	0
TongFeast	IBShopTongMa	7	46	0	0
3V3	3V3TotalOpenTimes	8	1	0	0
3V3	3V3PairTeamCount	8	2	0	0
3V3	3V3StagePlayerCount	8	3	0	0
